,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7
0,['C2'],"['D3', 'D5', 'E6', 'F9']",,,,,
1,"['C2', 'C4', 'C6', 'D1', 'E4', 'E8', 'F7']","['D4', 'D7', 'F3', 'G1', 'G4', 'G7']","['B2', 'C3', 'C9', 'D1', 'E8', 'G7']","['A4', 'B5', 'C3', 'E5', 'E8', 'G1']",,,
2,"['B1', 'B3', 'B5', 'E4', 'F1', 'F9', 'G2']","['A2', 'A7', 'A8', 'B6', 'B8', 'B9', 'C3', 'C8', 'D2', 'D6', 'E5', 'E6', 'E8', 'F1', 'F4', 'G1', 'G5', 'G9']",,,,,
3,"['B1', 'B5', 'C2', 'D1', 'D11', 'E6', 'F3']",['D3'],"['A4', 'B8', 'C3', 'C9', 'D1', 'D7']","['A7', 'C9', 'D7', 'E2', 'F3', 'G1']","['A4', 'B5', 'D7', 'E5', 'F6', 'F9']",,
4,"['B1', 'B3', 'B5', 'C4', 'D5', 'D7', 'D11', 'E2', 'E6', 'E8', 'F1', 'F7', 'G2', 'G4']","['A1', 'A7', 'B2', 'B5', 'B8', 'D4', 'E2', 'E8', 'F6', 'G1', 'G4']",,,,,
5,"['A4', 'A7', 'B2', 'B5', 'B8', 'C6', 'D1', 'D4', 'E2', 'F3', 'F6', 'G1', 'G4']","['B4', 'C8', 'D4', 'D6', 'E2', 'E8', 'F6']",,,,,
6,"['B1', 'B3', 'B5', 'C2', 'C4', 'C6', 'C8', 'D1', 'D7', 'D11', 'E4', 'E6', 'E10', 'E12', 'F3', 'F7', 'F9', 'G2']","['B4', 'C8', 'D4', 'D6', 'E2', 'E8', 'F6']",,,,,
7,"['B2', 'C6', 'G1', 'G7']","['D7', 'F3', 'F9', 'G7']","['A2', 'B4', 'B5', 'B6', 'B7', 'C2', 'C5', 'D5', 'E5', 'F6', 'G4']",,,,
8,"['A1', 'A4', 'B2', 'B8', 'C3', 'E2', 'E5', 'E8', 'F3', 'G7']","['A1', 'A4', 'A7', 'B2', 'C6', 'D1', 'D4', 'E5', 'E8', 'G7']",,,,,
9,"['A1', 'B8', 'C3', 'C9', 'D1', 'D4', 'E2', 'E5', 'E8', 'F3', 'F9']",['C3'],"['A2', 'B4', 'B6', 'C2', 'D5', 'D6', 'E5', 'F6', 'G6']",,,,
10,"['B1', 'C2', 'C6', 'D5', 'D9', 'E2', 'F3', 'F7', 'G2']",['C3'],"['A1', 'A4', 'B2', 'B5', 'D7', 'E5', 'F6']","['B8', 'C3', 'C6', 'D1', 'F3', 'G1', 'G7']",,,
11,"['B1', 'B3', 'B5', 'C2', 'C4', 'C6', 'C8', 'D1', 'D3', 'D5', 'D7', 'D9', 'D11', 'E2', 'E4', 'E6', 'E10', 'E12', 'F1', 'F3', 'F5', 'F7', 'F9', 'G2', 'G4']",['83015'],,,,,
12,"['C2', 'C8', 'D7', 'D9', 'E2', 'E10', 'F3', 'F5', 'F9']",['A4'],"['A4', 'A7', 'C9', 'D4', 'D7', 'E2', 'G4']","['A1', 'A7', 'B2', 'B5', 'F3', 'G1', 'G7']",,,
13,"['B3', 'C2', 'C8', 'D1', 'D3', 'D7', 'D9', 'E2', 'E4', 'E12', 'F1', 'F5', 'F7', 'G4']","['A7', 'B2', 'B8', 'C3', 'C6', 'E2', 'E5', 'E8', 'G1', 'G4', 'G7']",,,,,
14,"['B3', 'C4', 'D5', 'D9', 'E2', 'E6', 'F1', 'F3', 'F9']","['A1', 'A4', 'A6', 'B4', 'D1', 'D2', 'E1', 'E4', 'E5', 'F2', 'F3', 'F4', 'G1', 'G3', 'G4', 'G5']",,,,,
15,"['A7', 'B8', 'C9', 'D4', 'G7']","['A4', 'A5', 'A8', 'B4', 'C2', 'C8', 'C9', 'D2', 'E8', 'F2', 'F5', 'F6', 'F7', 'G6', 'G9']",,,,,
16,"['A1', 'A4', 'B2', 'B5', 'B8', 'C3', 'C6', 'C9', 'D1', 'F3']","['B4', 'B6', 'C2', 'D4', 'E2', 'E8']",,,,,
17,"['B3', 'B5', 'C6', 'F9']","['A4', 'D7', 'F6', 'G4']","['B1', 'C8', 'E8', 'F3']","['C6', 'D7', 'F3', 'G4']","['A4', 'A7', 'D4', 'G1']","['A1', 'B8', 'F6', 'G1']",
18,"['C8', 'E8', 'F5', 'G2', 'G4']",['C3'],"['C6', 'D7', 'E2', 'G7']","['A4', 'E2', 'F6', 'G1']","['B2', 'C3', 'D4', 'G7']","['A4', 'D4', 'G4']","['A7', 'F6', 'F9', 'G7']"
19,"['A7', 'B2', 'B5', 'B8', 'C3', 'C6', 'D1', 'D7', 'E8', 'G4']","['A4', 'A7', 'B2', 'C3', 'C9', 'D1', 'D7', 'E5', 'E8', 'G1']",,,,,
20,"['A7', 'B8', 'C6', 'F3', 'F9', 'G7']","['A1', 'A7', 'D7', 'E5', 'F6', 'F9']","['B3', 'C2', 'C4', 'C8', 'D7', 'F1', 'F3', 'G2']",,,,
21,"['B3', 'B5', 'C4', 'C6', 'D3', 'E6', 'F1', 'F7', 'F9']","['A1', 'A4', 'B2', 'D4', 'E2', 'E5', 'G4']","['B5', 'C4', 'C8', 'D3', 'D7', 'D9', 'D11', 'E12', 'G4']",,,,
22,"['A1', 'A7', 'C6', 'C9', 'D7', 'E8', 'F9', 'G1', 'G4', 'G7']",['G1'],"['A1', 'B5', 'C9', 'E8', 'F3', 'F6', 'F9', 'G1', 'G4', 'G7']",,,,
23,"['C8', 'D3', 'D5', 'D11', 'E4', 'F1', 'F3']","['A1', 'B2', 'C3', 'F6']","['A1', 'G4']","['A1', 'B2', 'E5', 'F6', 'F9']","['A4', 'C9', 'D1', 'F9', 'G7']",,
24,"['B5', 'C2', 'C6', 'D1', 'D3', 'D5', 'D9', 'D11', 'E4', 'E6', 'E12', 'F5', 'F9']","['B1', 'B5', 'C6', 'D1', 'D7', 'D11', 'E2', 'E6', 'E8', 'F3', 'F9', 'G2', 'G4']",,,,,
25,"['B2', 'C3', 'C6', 'C9', 'D4', 'E2', 'F9']","['A7', 'B2', 'C6', 'C9', 'D4', 'D7', 'E2']","['A4', 'B8', 'D4', 'D7', 'E8', 'G1', 'G4']",,,,
26,"['B2', 'B5', 'B8', 'C9', 'D4', 'E2', 'F9', 'G1', 'G4', 'G7']","['A4', 'A7', 'C6', 'D1', 'D4', 'E5', 'E8', 'F3', 'F9', 'G4']",,,,,
27,"['A2', 'A3', 'A5', 'A6', 'A7', 'A9', 'B1', 'B2', 'B3', 'B7', 'B8', 'C1', 'C2', 'C3', 'C4', 'C6', 'C7', 'C8', 'C9', 'D1', 'D2', 'D3', 'D4', 'D5', 'D6', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E8', 'E9', 'F1', 'F3', 'F4', 'F5', 'F6', 'F7', 'G1', 'G2', 'G4', 'G5', 'G6', 'G7', 'G8']","['A2', 'A8', 'B4', 'B6', 'C2', 'C8', 'D4', 'D6', 'D9', 'E2', 'E5', 'E8', 'F1', 'F4', 'G2']",,,,,
28,"['A1', 'B2', 'B5', 'C3', 'C6', 'C9', 'E2', 'E5', 'F3', 'F6', 'G1', 'G4', 'G7']","['B2', 'B6', 'D2', 'D4', 'D6', 'D8', 'F8']",,,,,
29,"['A7', 'B5', 'B8', 'C3', 'C6', 'D1', 'D4', 'D7', 'E2', 'E5', 'E8', 'F3', 'F6', 'G1']","['B4', 'B6', 'D4', 'E2', 'F4', 'F6']",,,,,
30,"['A1', 'A4', 'A7', 'B2', 'B5', 'D1', 'D4', 'E5', 'E8', 'F3', 'F6', 'F9', 'G4', 'G7']","['B6', 'C2', 'D4', 'D6', 'E2', 'F4']",,,,,
31,"['A1', 'C3', 'C6', 'C9', 'D1', 'D4', 'D7', 'E2', 'E5', 'E8', 'F6']","['B4', 'B6', 'C8', 'D4', 'E2', 'F4']",,,,,
32,['C3'],['D7'],['C1'],['B9'],,,
