Epoch	Learning Rate	Train Loss	Train Acc.	Val Loss	Val seq Acc Top1-5/F1.	Val Batch Acc	
1.000000	0.000500	1.864185	0.576224	0.000000	0.000000	0.000000	
2.000000	0.000500	0.079145	0.993007	0.000000	0.000000	0.000000	
3.000000	0.000500	0.029054	0.998601	0.000000	0.000000	0.000000	
4.000000	0.000500	0.019623	0.998601	0.000000	0.000000	0.000000	
5.000000	0.000500	0.015381	0.998601	0.720705	(0.8073739653875094, 0.9142212189616253, 0.9488337095560572, 0.7485322188472056, 0.9947076026039228)	(0.8524590163934426, 0.9508196721311475, 0.9672131147540983, 0.8053075396825398, 0.9973997885941742)	
6.000000	0.000500	0.011557	0.998601	0.000000	0.000000	0.000000	
7.000000	0.000500	0.009912	0.998601	0.000000	0.000000	0.000000	
8.000000	0.000500	0.008514	0.998601	0.000000	0.000000	0.000000	
9.000000	0.000500	0.006862	1.000000	0.000000	0.000000	0.000000	
10.000000	0.000500	0.007132	1.000000	0.629723	(0.837471783295711, 0.9465763732129421, 0.9691497366440933, 0.7900085846296941, 0.9962172179533961)	(0.8688524590163934, 0.9672131147540983, 0.9836065573770492, 0.8396825396825397, 0.9980322290703647)	
11.000000	0.000500	0.006162	1.000000	0.000000	0.000000	0.000000	
12.000000	0.000500	0.005459	1.000000	0.000000	0.000000	0.000000	
13.000000	0.000500	0.005301	1.000000	0.000000	0.000000	0.000000	
14.000000	0.000500	0.005121	1.000000	0.000000	0.000000	0.000000	
15.000000	0.000500	0.004850	1.000000	0.597549	(0.8389766741911211, 0.9503386004514672, 0.9706546275395034, 0.7926782863002046, 0.9966469717467796)	(0.8524590163934426, 0.9672131147540983, 0.9836065573770492, 0.8143849206349206, 0.9980322290703647)	
16.000000	0.000500	0.004671	1.000000	0.000000	0.000000	0.000000	
17.000000	0.000500	0.004414	1.000000	0.000000	0.000000	0.000000	
18.000000	0.000500	0.003996	1.000000	0.000000	0.000000	0.000000	
19.000000	0.000500	0.003985	1.000000	0.000000	0.000000	0.000000	
20.000000	0.000500	0.003763	1.000000	0.577566	(0.8434913468773514, 0.9510910458991723, 0.9736644093303235, 0.8002494950909811, 0.9969015173165361)	(0.8360655737704918, 0.9672131147540983, 0.9836065573770492, 0.7969742063492063, 0.9982970595788392)	
21.000000	0.000500	0.003495	1.000000	0.000000	0.000000	0.000000	
22.000000	0.000500	0.003482	1.000000	0.000000	0.000000	0.000000	
23.000000	0.000500	0.003327	1.000000	0.000000	0.000000	0.000000	
24.000000	0.000500	0.003220	1.000000	0.000000	0.000000	0.000000	
25.000000	0.000500	0.002963	1.000000	0.556326	(0.8472535741158767, 0.9533483822422875, 0.9736644093303235, 0.8034362781667657, 0.997073195337546)	(0.8688524590163934, 0.9836065573770492, 0.9836065573770492, 0.8282106782106782, 0.9982970595788392)	
26.000000	0.000500	0.002894	1.000000	0.000000	0.000000	0.000000	
27.000000	0.000500	0.002926	1.000000	0.000000	0.000000	0.000000	
28.000000	0.000500	0.002718	1.000000	0.000000	0.000000	0.000000	
29.000000	0.000500	0.003019	1.000000	0.000000	0.000000	0.000000	
30.000000	0.000500	0.002590	1.000000	0.546797	(0.8427389014296464, 0.9563581640331076, 0.9751693002257337, 0.8040697342352193, 0.9972069286881388)	(0.8524590163934426, 0.9836065573770492, 0.9836065573770492, 0.8107999639249639, 0.9983917565485362)	
31.000000	0.000500	0.002531	1.000000	0.000000	0.000000	0.000000	
32.000000	0.000500	0.002468	1.000000	0.000000	0.000000	0.000000	
33.000000	0.000500	0.002329	1.000000	0.000000	0.000000	0.000000	
34.000000	0.000500	0.002329	1.000000	0.000000	0.000000	0.000000	
35.000000	0.000500	0.002244	1.000000	0.529122	(0.8532731376975169, 0.9586155003762227, 0.9774266365688488, 0.8123200938150317, 0.9972944976707708)	(0.8688524590163934, 0.9836065573770492, 0.9836065573770492, 0.8282106782106782, 0.9983917565485362)	
36.000000	0.000500	0.002255	1.000000	0.000000	0.000000	0.000000	
37.000000	0.000500	0.002143	1.000000	0.000000	0.000000	0.000000	
38.000000	0.000500	0.002146	1.000000	0.000000	0.000000	0.000000	
39.000000	0.000500	0.002021	1.000000	0.000000	0.000000	0.000000	
40.000000	0.000500	0.001882	1.000000	0.517883	(0.8577878103837472, 0.9593679458239278, 0.9796839729119639, 0.8177249667829171, 0.9973787661465939)	(0.8688524590163934, 0.9836065573770492, 0.9836065573770492, 0.8282106782106782, 0.9982970595788392)	
41.000000	0.000500	0.001932	1.000000	0.000000	0.000000	0.000000	
42.000000	0.000500	0.001984	1.000000	0.000000	0.000000	0.000000	
43.000000	0.000500	0.001865	1.000000	0.000000	0.000000	0.000000	
44.000000	0.000500	0.001800	1.000000	0.000000	0.000000	0.000000	
